model,threshold,precision,recall,f1,pr_auc,true_positives,false_positives,false_negatives,true_negatives,total_abusive_value,detected_abusive_value,missed_abusive_value,legitimate_flagged_value,value_detection_rate
MODEL A - BEHAVIOR,0.48140648007392883,1.0,0.8,0.8888888888888888,0.8418566907258913,20,0,5,254,74569.62962756486,73587.62744114053,982.0021864243213,0.0,0.9868310706204536
MODEL B - BEHAVIOR + NETWORK,0.5205729603767395,1.0,0.92,0.9583333333333334,0.9377019607843138,23,0,2,254,74569.62962756486,73987.62744114053,582.0021864243213,0.0,0.9921951846974282
